#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
#  STRING NAME (do not change!);;;;;;;;;;;X
cze_candle_demonstration;The Candle Demonstration;;;;;;;;;;X
cze_candle_demonstration_desc;The Candle Demonstration on 25 March 1988 in Bratislava, the capital of Slovakia, was the first mass demonstration since 1969 against the communist regime in Czechoslovakia. The Demonstration was organized by Roman Catholic dissent groups asking for religious freedom in Czechoslovakia. The peaceful Candle Demonstration of five thousand believers was suppressed by the police. The Demonstration was planned by Marián Stastný, Executive Vice-President of the Slovak World Congress and his associate Dr. Paul Arnold of Switzerland. They were in touch with the Carnogurský family of Bratislava and passed on the plans for the demonstration via Stastný's mother-in-law, who was on a visit to Switzerland. Catholic activist Frantisek Miklosko initiated a request for a permit to demonstrate, but his proposal was rejected by the authorities. Information about the event was propagated through Vatican Radio and, after the event, by Radio Free Europe and Voice of America. Five thousand Slovaks protested at Hviezdoslav Square with candles in their hands, and further thousands in adjacent streets, while the main entrance to the square was blocked by the secret police. Police first used water cannons against protesters while they ran their sirens and yelled at protesters to get away from the square, then began attacking the protesters with batons and sticks. Leading Communist officials (e.g. the Slovak prime minister, minister of the interior, minister of culture) were observing the whole ''operation'' from inside the Carlton Hotel on Hviezdoslav square.;;;;;;;;;;X
cze_perestroika;The Czech Perestroika;;;;;;;;;;X
cze_perestroika_desc;The nature of blacklisting changed gradually after the introduction of Mikhail Gorbachev's policies of Glasnost (openness) and Perestroika (restructuring) in 1985. The Czechoslovak Communist leadership verbally supported Perestroika, but made few changes. Speaking about the Prague Spring of 1968 was taboo. The latter part of Husák's tenure saw a struggle within the Politburo over whether to adopt Gorbachev-style reforms. While the hardliners, led by Vasil Bilak, opposed any restructuring, moderates led by Prime Minister Lubomir Strougal strongly favoured reform. Husák himself stayed neutral until April 1987, when he announced a somewhat half-hearted reform program starting in 1991.;;;;;;;;;;X
cze_normalization;The Normalization;;;;;;;;;;X
cze_normalization_desc;When Gustáv Husák became the leader of the KSC instead of Alexander Dubcek in April 1969 after the military intervention of Warsaw Pact armies, his regime acted quickly to ''normalize'' the country's political situation. The chief objectives of Husák's normalization were the restoration of firm party rule and the reestablishment of Czechoslovakia's status as a committed member of the socialist bloc. The method by which KSS under Husák ruled was commonly summed up as ''reluctant terror.'' It involved careful adherence to the Soviet Union's policy objectives and the use of what was perceived as the minimum amount of repression at home necessary to fulfil these objectives and prevent a return to Dubcek-style reformism. Repeated arrests and imprisonment of persons opposing the regime, continued throughout the 1970s and into the 1980s. Less coercive controls, such as punishment through job loss, demotion, denial of employment, denial of educational opportunities, housing restrictions, and refusal to grant travel requests, also prevailed. Another means by which the Husák regime maintained control was to offer considerable consumer gains as a substitute for the loss of personal freedom. Government policies in the first half of the 1970s resulted in high economic growth and large increases in personal consumption. The widespread availability of material goods placated the general populace and promoted overall acceptance of Husák's stringent political controls. During the late 1970s, however, Czechoslovakia's economy began to stagnate, and the regime's ability to appease the population by providing material benefits diminished. Although the Husák regime succeeded in preserving the status quo in Czechoslovakia for nearly two decades, it faced in the 1980s both internal and external pressures to reform.;;;;;;;;;;X
hungary_pan-european_picnic;The Pan-European Picnic;;;;;;;;;;X
hungary_pan-european_picnic_desc;On 2 May 1989, the first visible cracks in the Iron Curtain appeared when Hungary began dismantling its 240 kilometres (150 mi) long border fence with Austria. The relatively open border with the West allowed hundreds of East Germans on holiday in Hungary to escape to Austria and then travel safely to West Germany. The open border infuriated many Soviet Bloc governments who feared a return to a pre-Berlin Wall day when thousands of East Germans fled daily to West Berlin. Although worried, the Soviet Union took no overt actions against Hungary, taking a hands-off approach. The most famous crossing came on 19 August, when during a ''friendship picnic'' between Austrians and Hungarians over 900 East Germans rushed the border and escaped into Austria. It was organised by the Paneuropean Union and the Hungarian opposition Hungarian Democratic Forum under the protection of Otto von Habsburg and Imre Pozsgay.;;;;;;;;;;X
hungary_hole_iron_curtain;A Hole in The Iron Curtain;;;;;;;;;;X
hungary_hole_iron_curtain_desc;As Prime Minister, Németh took the controversial decision to allow East Germans, long held captive by their country's communist regime, to pass through Hungary en route to freedom in West Germany. This increasingly destabilized the GDR and Czechoslovakia over the summer and autumn as thousands of their citizens illegally crossed over to the West through the Hungarian-Austrian border. In September 1989, more than 13,000 East Germans managed to escape to the West through Hungary. The Hungarian government told their furious East German counterparts that international treaties on refugees took precedence over a 1969 agreement between the two countries restricting freedom of movement. Thousands of East Germans also tried to reach the West by staging sit-ins at West German diplomatic facilities in other East European capitals, especially in Prague, Czechoslovakia. The GDR subsequently announced that it would provide special trains to carry these refugees to West Germany, claiming it was expelling ''irresponsible antisocial traitors and criminals.'';;;;;;;;;;X
hungary_hole_iron_curtain_2_desc;In August 1989, Hungary's reformist government removed its border restrictions with Austria — the first breach in the so-called ''Iron Curtain''. In September 1989, more than 13,000 East Germans managed to escape to the West through Hungary. The Hungarian government told their furious East German counterparts that international treaties on refugees took precedence over a 1969 agreement between the two countries restricting freedom of movement. Thousands of East Germans also tried to reach the West by staging sit-ins at West German diplomatic facilities in other East European capitals, especially in Prague, Czechoslovakia. The GDR subsequently announced that it would provide special trains to carry these refugees to West Germany, claiming it was expelling ''irresponsible antisocial traitors and criminals.'';;;;;;;;;;X
hungary_rise_nemeth;The Rise of Németh;;;;;;;;;;X
hungary_rise_nemeth_desc;Grósz remained prime minister until later that year, when he was succeeded by Miklós Németh, a representative of the radical reformer faction. He advocated moderate and measured changes in the political and economic spheres with the aim to accomplish a careful reform of socialism without touching the latter's foundations. He liked to call this a ''model change'' (i.e. reforms and refinements within the Communist framework), as opposed to a total ''system change'', i.e. the replacement of Communism by a Western-style system. As 1989 wore on, Grósz was increasingly sidelined by the radical reformers within the party, including Németh, Rezso Nyers, Gyula Horn and Imre Pozsgay. He tried to slow down, stop or reverse the radical changes advocated by his adversaries that were aimed at establishing a Western-type political system and market economy in Hungary. He opposed the rehabilitation of the executed Imre Nagy, Prime Minister during the 1956 revolution. Hoping to defuse the campaign to rehabilitate Nagy, Grósz broke the news of the latter's earlier NKVD ties in a speech at the September 1, 1989 meeting of the HSWP Central Committee, but those present decided not to publish the facts. However, his fate was sealed when he agreed to meet with Romanian leader Nicolae Ceausescu to discuss what to do with a large number of ethnic Hungarians who had fled Romania. Many of Grósz' party colleagues thought he trusted Ceausescu too much. He lost a good deal of authority as a result, and his standing never really recovered.;;;;;;;;;;X
hungary_kadar_resigns;Kádár resigns;;;;;;;;;;X
hungary_kadar_resigns_desc;János Kádár held power in Hungary until the spring of 1988, when he resigned as General Secretary mainly due to mounting economic difficulties and his own ill health. At a party conference in Budapest on 27 May 1988, Kádár announced his resignation and was officially replaced as General Secretary by Prime Minister Károly Grósz, who strove to continue Kádár's policies in a modified and adjusted form adapted to the new circumstances. Kádár was named instead to the ceremonial position of Party President. He did not wish to be re-elected to the Political Committee, the most important decision-making body of the party.;;;;;;;;;;X
hun_gov_change;Mátyás Szúrös & Miklós Németh;;;;;;;;;;X
hun_gov_change_desc;Mátyás Szúrös: His presidency occurred during Hungary's transition from communist to democratic government. Szúrös served as Speaker of the National Assembly of Hungary from March 1989 to May 1990. With the dissolution of the Presidential Council, Szúrös became provisional president under the 1949 Constitution and made the official proclamation that Hungary had removed the ''People's'' from its official name and was now simply the Republic of Hungary. - Miklós Németh: Following the passing of constitutional amendments by parliament on 23 October 1989 he served as the first (provisional) Prime Minister of the Third Hungarian Republic.;;;;;;;;;;X
hungary_round_table_talks;The Hungarian Round Table Talks;;;;;;;;;;X
hungary_round_table_talks_desc;The talks originated in March 1989 as a meeting among opposition groups. At that point, longtime leader János Kádár had been removed from power for almost a year, and the Communists' Central Committee that month admitted the necessity of a multiparty system. Mass demonstrations on March 15, the National Day, persuaded the regime to begin negotiations with the emergent non-Communist political forces.;;;;;;;;;;X
hungary_round_table_talks_1_desc;An agreement was reached involving six draft laws that covered an overhaul of the Constitution, establishment of a Constitutional Court, the functioning and management of political parties, multiparty elections for National Assembly deputies, the penal code and the law on penal procedures (the last two changes represented an additional separation of the Party from the state apparatus). The electoral system was a compromise: about half of the deputies would be elected proportionally and half by the majoritarian system. A weak presidency was also agreed upon, but no consensus was attained on who should elect the president (parliament or the people) and when this election should occur (before or after parliamentary elections). Initially, the opposition was united in wanting the president elected by parliament after new elections to ensure parliamentary supremacy and minimise the MSzMP's power. Then, faced with Communist concessions, the relatively weak opposition split, as at least three moderate groups (including KNDP and MDF) signed the Round Table agreement and implicitly accepted Pozsgay as president while the radicals (notably Fidesz and the SzDSz) refused to do so. After a burst of negotiations, fully free elections were scheduled for March 1990, in contrast to the semi-free elections held in Poland in June 1989. In the end, the implicit deal on the presidency (the only place where the Communists appeared to have gotten the upper hand) reached in the Round Table Talks was reversed: when the MSzMP dissolved itself in early October and became the MSZP, a majority of members as well as MPs failed to join the new party, and Pozsgay was not elected its leader.;;;;;;;;;;X
hungary_power_vacuum;Power Vacuum;;;;;;;;;;X
hungary_power_vacuum_desc;In May 1988 a party conference was convened, which elected Károly Grósz as general secretary of the party at Kádár's recommendation on May 22, 1988. Grósz remained prime minister until later that year, when he was succeeded by Miklós Németh, a representative of the radical reformer faction. He advocated moderate and measured changes in the political and economic spheres with the aim to accomplish a careful reform of socialism without touching the latter's foundations. He liked to call this a ''model change'' (i.e. reforms and refinements within the Communist framework), as opposed to a total ''system change'', i.e. the replacement of Communism by a Western-style system. In the ensuing power vacuum, the radicals used the very liberal initiative law formulated by the Round Table to successfully campaign for a referendum on four additional issues. The referendum, held on 26 November, asked questions on the dissolution of the party militia, the return of party assets, the elimination of the party from the workplace and whether presidential or parliamentary elections should be held first. They easily obtained the 100,000 signatures needed to place the questions on the ballot. The reform Communists quickly abolished the party militia, promised a full accounting of its assets before the referendum, and removed its cells from the workplace. On the crucial question of the election sequence, the radicals barely satisfied both criteria (55 percent turnout, with 50 percent needed, and 50.07 percent supporting parliamentary elections first). The party-state had been completely dismantled, something the Opposition Round Table had not been strong enough to accomplish on its own.;;;;;;;;;;X
hungary_elections;The Hungarian Parliamentary Election;;;;;;;;;;X
hungary_elections_desc;Parliamentary elections were held in Hungary on 24 March 1990, with a second round of voting taking place in all but five single member constituencies on 8 April. They were the first free elections to be held in the country since 1945.;;;;;;;;;;X
sov_hardliners_take_power;Soviet Hardliners Take Power;;;;;;;;;;X
sov_hardliners_take_power_desc;A Coup has happened in Moscow. We must prepare for the worst.;;;;;;;;;;X
china_protests;Protests in Hefei;;;;;;;;;;X
china_protests_desc;New Chinese leader Deng Xiaoping, developed the concept of Socialism with Chinese characteristics local market economy around 1984, but the policy stalled. The first Chinese student demonstrations, which directly preceded the Beijing protests of 1989, took place in December 1986 in Hefei. The students called for campus elections, the chance to study abroad and greater availability of western pop culture. Their protests took advantage of the loosening political atmosphere and included rallies against the slow pace of reform.;;;;;;;;;;X
china_protests_1;Hu Yaobang is forced to resign!;;;;;;;;;;X
china_protests_1_desc;Chairman Hu Yaobang, a protégé of Deng Xiaoping and a leading advocate of reform, was blamed for the protests and forced to resign as the CCP General Secretary in January 1987. In the ''Anti Bourgeois Liberalization Campaign'', Hu would be further denounced.;;;;;;;;;;X
china_protests_2;The Tiananmen Square protests;;;;;;;;;;X
china_protests_2_desc;The Tiananmen Square protests were sparked by the death of Hu Yaobang on 15 April 1989. By the eve of Hu's state funeral, some 100,000 students had gathered at Tiananmen square to observe it, however, no leaders emerged from the Great Hall. The movement lasted for seven weeks.;;;;;;;;;;X
china_protests_2-1_desc;Gorbachev's visit to China on 15 May during the protests brought many foreign news agencies to Beijing, and their sympathetic portrayals of the protesters helped galvanize a spirit of liberation among the Central, South-East and Eastern Europeans who were watching. The Chinese leadership, particularly Communist Party General Secretary Zhao Ziyang, having begun earlier than the Soviets to radically reform the economy, was open to political reform, but not at the cost of a potential return to the disorder of the Cultural Revolution.;;;;;;;;;;X
china_protests_3;The Tiananmen Square Massacre;;;;;;;;;;X
china_protests_3_desc;The movement lasted from Hu's death on 15 April until tanks rolled into Tiananmen Square on 4 June 1989. The government initially took a conciliatory stance toward the protesters. The student-led hunger strike galvanized support for the demonstrators around the country and the protests spread to 400 cities by mid-May. Ultimately, China's paramount leader Deng Xiaoping and other party elders resolved to use force. Party authorities declared martial law on May 20, and mobilized as many as 300,000 troops to Beijing. In the aftermath of the crackdown, the government conducted widespread arrests of protesters and their supporters, cracked down on other protests around China, expelled foreign journalists and strictly controlled coverage of the events in the domestic press. The police and internal security forces were strengthened. Officials deemed sympathetic to the protests were demoted or purged. In Beijing, the military response to the protest by the PRC government left many civilians in charge of clearing the square of the dead and severely injured. The Chinese government condemned the protests as a ''counter-revolutionary riot'', and has prohibited all forms of discussion or remembrance of the events since. Due to the lack of information from China, many aspects of the events remain unknown or unconfirmed. Estimates of the death toll range from a few hundred to a few thousand. The Chinese government was widely condemned internationally for the use of force against the protesters. Western governments imposed economic sanctions and arms embargoes.;;;;;;;;;;X
belavezha_accords;The Belavezha Accords;;;;;;;;;;X
belavezha_accords_desc;The Belavezha Accords is the agreement that declared the Soviet Union effectively dissolved and established the Commonwealth of Independent States (CIS) in its place. It was signed at the state dacha near Viskuli in Belovezhskaya Pushcha on December 8, 1991, by the leaders of the three largest Slavic republics of the Soviet Union: Russian President Boris Yeltsin, Ukrainian president Leonid Kravchuk and Belarusian parliament chairman Stanislau Shushkevich.;;;;;;;;;;X
belavezha_accords;The Russian SFSR ratifies the Belavezha Accords;;;;;;;;;;X
belavezha_accords_1_desc;On 12 December, the Supreme Soviet of the Russian SFSR formally ratified the Belavezha Accords and denounced the 1922 Union Treaty. The Russian deputies were also recalled from the Supreme Soviet of the USSR. The legality of this action was questionable, since Soviet law did not allow a republic to unilaterally recall its deputies. However, no one in Russia raised any objections. No objections came from the Kremlin either, though they would have likely had no effect since what remained of the Soviet government had been rendered impotent long before then. In effect, the largest and most powerful republic had seceded from the Union. Later that day, Gorbachev hinted for the first time that he was considering stepping aside. It was now clear that the momentum toward dissolution could not be stopped.;;;;;;;;;;X
play_as_russia;Continue as Russia (You must save and reload!);;;;;;;;;;X
play_as_ukraine;Continue as Ukraine (You must save and reload!);;;;;;;;;;X
play_as_belarus;Continue as Belarus (You must save and reload!);;;;;;;;;;X
end_soviet_union;If the Soviet Union is ended, so am I... (Quit);;;;;;;;;;X
economic_conditions_deteriorate;Economic Conditions Deteriorate;;;;;;;;;;X
economic_conditions_deteriorate_desc;The Era of Stagnation in the mid-1970s was aggravated by the war in Afghanistan in 1979 and led to a period of economic standstill between 1979 and 1985. Soviet military buildup at the expense of domestic development kept the USSR's GDP at the same level during the first half of the 1980s. The complex demands of the modern economy and inflexible administration overwhelmed and constrained the central planners. By 1982 the stagnation of the Soviet economy was obvious, as evidenced by the fact that the Soviet Union had been importing grain from the U.S. throughout the 1970s, but the system was so firmly entrenched that any real change seemed impossible.  Because of our lethargy to reform the economy, the average annual income stagnated, since needed economic reforms were never fully carried out. Also, the 1986 oil price collapse benefited oil-consuming countries such as the United States, Japan, Europe, and Third World nations, but represented a serious loss in revenue for the Soviet Union and the subsidies given to the satellites states also helped to deepen the crisis. Corruption remains widespread, citizens lack even the most basic goods and the collapse of the economy seems imminent. Most of our aides suggest that we should let go of the arms race and strike a bargain with the USA in exchange for financial aid.;;;;;;;;;;X
economic_conditions_deteriorate_2_desc;The Era of Stagnation in the mid-1970s was aggravated by the war in Afghanistan in 1979 and led to a period of economic standstill between 1979 and 1985. Soviet military buildup at the expense of domestic development kept the USSR's GDP at the same level during the first half of the 1980s. The complex demands of the modern economy and inflexible administration overwhelmed and constrained the central planners. By 1982 the stagnation of the Soviet economy was obvious, as evidenced by the fact that the Soviet Union had been importing grain from the U.S. throughout the 1970s, but the system was so firmly entrenched that any real change seemed impossible.  Because of our lethargy to reform the economy, the average annual income stagnated, since needed economic reforms were never fully carried out. Also, the 1986 oil price collapse benefited oil-consuming countries such as the United States, Japan, Europe, and Third World nations, but represented a serious loss in revenue for the Soviet Union and the subsidies given to the satellites states also helped to deepen the crisis. Corruption remains widespread, citizens lack even the most basic goods and the collapse of the economy seems imminent. Most of our aides suggest that we should let go of the arms race and strike a bargain with the USA in exchange for financial aid. But the more conservative wing of the Party believes that we should get the americans off guard while we still can or at least threaten them to give us the loans we need.;;;;;;;;;;X
nothing_new_east;Nothing New in The East;;;;;;;;;;X
nothing_new_east_desc;Our choice to maintain the status quo in the current system is leading our country to economic depression. We cannot endure a prolonged arms race with the United States and the West, should our economy collapse we will be defenseless. Perhaps we should engage in talks to make them make concessions and sign disarmament treaties before it's too late for us.;;;;;;;;;;X
war_of_laws;The War of Laws;;;;;;;;;;X
war_of_laws_desc;During the 1980s, legislative gridlock developed between the Soviet government and its union republics. Multiple laws were passed by the republics giving them jurisdiction over their own territory, these were overturned by Moscow as unconstitutional. In response, the republics officially stated that Moscow's rulings were not relevant to the matter over which the original law had been passed. This led to a constant conflict over constitutional wording and whether the republics or Moscow was supreme in the law. The republics began to assert their sovereignty over their regions: first Lithuania, in 1989, followed by the other 14 in 1990. Native languages were readopted instead of Russian, alienating some large cities made up of Russian citizens, which in turn led to the creation of even more individual, smaller republics. These new governments continued the war of laws by rejecting new laws passed by Moscow and creating their own. While sometimes the laws passed by the republics were contradictory, they were largely almost identical to those being passed in Moscow, forming a system of what was termed ''parallel power''.;;;;;;;;;;X
black_january;The Black January;;;;;;;;;;X
black_january_desc;The Black January, also known as Black Saturday or the January Massacre, was a violent crackdown in Baku on January 19–20, 1990, pursuant to a state of emergency during the dissolution of the Soviet Union and following pogroms and violence against the Armenian population in Baku. In a resolution of January 22, 1990, the Supreme Soviet of Azerbaijan SSR declared that the decree of the Presidium of the Supreme Soviet of the USSR of January 19, used to impose emergency rule in Baku and military deployment, constituted an act of aggression. The Black January is seen as the rebirth of the Azerbaijan Republic. It was one of the occasions during the glasnost and perestroika era in which the USSR used force against dissidents.;;;;;;;;;;X
baku_pogrom;The Baku Pogrom;;;;;;;;;;X
baku_pogrom_desc;The Baku pogrom was an anti-Armenian pogrom directed against the Armenian inhabitants of Baku, Azerbaijan SSR. From January 12, 1990, a seven-day pogrom broke out against the Armenians civilian population in Baku during which Armenians were beaten, tortured, murdered, and expelled from the city. There were also many raids on apartments, robberies and arsons. According to the Human Rights Watch reporter Robert Kushen,''''the action was not entirely (or perhaps not at all) spontaneous, as the attackers had lists of Armenians and their addresses''''. The pogrom of Armenians in Baku was one of the acts of ethnic violence in the context of the Nagorno-Karabakh conflict, directed against the demands of the Nagorno-Karabakh Armenians to secede from Azerbaijan and unify with Armenia.;;;;;;;;;;X
azeri_sovereignty;The Popular Front of Azerbaijan;;;;;;;;;;X
azeri_sovereignty_desc;The Popular Front of Azerbaijan was established on July 16, 1988 with the initiative of patriotic Azerbaijani individuals as a result of movement of Azerbaijani people for freedom, sovereignty and democracy. PFA came to unite a number of informal public organizations which were established in the 1980s to struggle for the independence of Azerbaijan from the Soviet Union.;;;;;;;;;;X
azeri_sovereignty_2;The Azerbaijani Declaration of Sovereignty;;;;;;;;;;X
azeri_sovereignty_2_desc;In September 1989 the Supreme Council of Azerbaijan (SC), under pressure from PFA and its members in the SC, adopted the law on ''Economic Sovereignty of Azerbaijan Soviet Socialist Republic''.;;;;;;;;;;X
azeri_independence;The Azerbaijani Declaration of Independence;;;;;;;;;;X
azeri_independence_desc;On 18 October 1991, the Supreme Council of Azerbaijan adopted a Declaration of Independence.;;;;;;;;;;X
azeri_flag;Azerbaijan changes flag;;;;;;;;;;X
azeri_flag_desc;On November 17, 1990 on the first session of the Supreme Assembly of the Nakhichevan Autonomous Republic, the 1918 Azerbaijani flag was adopted as the national flag of the autonomous state. This flag was later adopted when the decree, ''On change the name and national flag of Azerbaijan SSR'', was issued on November 29, 1990. The decree was ratified on February 5, 1991 by the National Assembly of the Republic.;;;;;;;;;;X
rename_azerbaijan;Rename Azerbaijan;;;;;;;;;;X
rename_azerbaijan_desc;On 19 November 1990, Azerbaijan SSR was renamed the ''Republic of Azerbaijan.'';;;;;;;;;;X
rename_kazakhstan;Rename Kazakhstan;;;;;;;;;;X
rename_kazakhstan_desc;On December 10, 1991 the Kazakh SSR was renamed the Republic of Kazakhstan. It became independent on December 16, becoming the last republic to secede before the final collapse of the Soviet Union.;;;;;;;;;;X
kazakh_sovereignty;The Kazakh Declaration of Sovereignty;;;;;;;;;;X
kazakh_sovereignty_desc;Caught up in the groundswell of Soviet republics seeking greater autonomy, Kazakhstan declared its sovereignty as a republic within the Union of Soviet Socialist Republics in October 25th 1990.;;;;;;;;;;X
kazakh_independence;The Kazakh Declaration of Independence;;;;;;;;;;X
kazakh_independence_desc;Caught up in the groundswell of Soviet republics seeking greater autonomy, Kazakhstan declared its sovereignty as a republic within the Union of Soviet Socialist Republics in October 1990. Following the August 1991 aborted coup attempt in Moscow and the subsequent dissolution of the Soviet Union, Kazakhstan declared independence on 16 December 1991.;;;;;;;;;;X
kazakh_flag;Kazakhstan changes flag;;;;;;;;;;X
kazakh_flag_desc;On 4 June 1992, Kazakhstan adopted a new flag. The flag was designed by Shaken Niyazbekov, his project of the national flag of the Republic of Kazakhstan was chosen among more than 600 proposals. The pattern represents the art and cultural traditions of the old khanate and the Kazakh people. The light blue background stands for the various Turkic peoples that make up the present-day population of the country, including the Kazakhs, Tatars, Uyghurs, Uzbeks and others. The light blue color symbolizes peace, freedom, cultural and ethnic unity of Kazakhstani people. The sun represents the source of life and energy. It is also a symbol of wealth and abundance, the sun's rays are like grain which is the basis of abundance and prosperity. People of different Kazakh tribes had the golden eagle on their flags for centuries. The eagle symbolizes the power of the state.;;;;;;;;;;X
kyrgyz_independence;The Kyrgyz Declaration of Independence;;;;;;;;;;X
kyrgyz_independence_desc;On 19 August 1991, when the State Emergency Committee assumed power in Moscow, there was an attempt to depose Akayev in Kyrgyzstan. After the coup collapsed the following week, Akayev and Vice President German Kuznetsov announced their resignations from the Communist Party of the Soviet Union (CPSU), and the entire bureau and secretariat resigned. This was followed by the Supreme Soviet vote declaring independence from the Soviet Union on 31 August 1991 as the Republic of Kyrgyzstan.;;;;;;;;;;X
rename_uzbekistan;Rename Uzbekistan;;;;;;;;;;X
rename_uzbekistan_desc;On 1 September 1991, the Uzbek SSR was renamed Republic of Uzbekistan.;;;;;;;;;;X
uzbek_sovereignty;The Uzbek Declaration of Sovereignty;;;;;;;;;;X
uzbek_sovereignty_desc;On June 20, 1990 the Supreme Soviet of the Uzbek SSR adopted a declaration of sovereignty. The declaration asserted various aspects of the republic's sovereignty, including the precedence of republican laws over Union's legislation.;;;;;;;;;;X
uzbek_independence;The Uzbek Declaration of Independence;;;;;;;;;;X
uzbek_independence_desc;The attempted coup against the Gorbachev government by disaffected hard-liners in Moscow, which occurred in August 1991, was a catalyst for independence movements throughout the Soviet Union. Despite Uzbekistan's initial hesitancy to oppose the coup, the Supreme Soviet of Uzbekistan declared the republic independent on August 31, 1991.;;;;;;;;;;X
tajik_independence;The Tajik Declaration of Independence;;;;;;;;;;X
tajik_independence_desc;The Tajikistan Soviet Socialist Republic (SSR) was among the last republics of the Soviet Union to declare its independence. On September 9, following the other central asian republics, Tajikistan declared its independence. During this time, use of the Tajik language, an official language of the Tajikistan SSR next to Russian, was increasingly promoted. Ethnic Russians, who had held many governing posts, lost much of their influence and more Tajiks became politically active.;;;;;;;;;;X
turkmen_independence;The Turkmen Declaration of Independence;;;;;;;;;;X
turkmen_independence_desc;Turkmenistan became independent on October 27, 1991, amidst the dissolution of the Soviet Union. The former head of Turkmenistan's Communist Party at the time of independence, Saparmurad Niyazov, was elected president of the newly independent nation in an uncontested election.;;;;;;;;;;X
turkmen_flag;Turkmenistan changes flag;;;;;;;;;;X
turkmen_flag_desc;Before independence from the Soviet Union in 1991, Turkmenistan had a flag similar to all other Soviet Republics, see Flag of the Turkmen SSR. After independence in 1991, Turkmenistan adopted a new flag very on February 19, 1992. It features a green field with a vertical red stripe near the hoist side, containing five carpet guls (designs used in producing rugs), a white waxing crescent moon, typical of Turkic and Islamic symbology, and five white five-pointed stars appear in the upper corner of the field just to the fly side of the red stripe. The green and red colors appear in this flag because they have been venerated historically by the Turkmen. The waxing crescent moon symbolizes the hope of the country for a shining future and the stars represent the five provinces (welayatlar) of Turkmenistan – Ahal, Balkan, Dashhowuz, Lebap, and Mary. The five traditional carpet designs along the hoist represent the five major tribes or houses, and form motifs in the country's state emblem and flag. These Turkmen tribes in traditional order (as well as top to bottom) are Teke (Tekke), Yomut (Yomud), Saryk (Saryq), Chowdur (Choudur), and Arsary (Ersary). The middle design may also represent the Salyr (Salor), a tribe that declined as a result of military defeat before the modern period.;;;;;;;;;;X
armenian_independence;The Armenian Declaration of Independence;;;;;;;;;;X
armenian_independence_desc;On August 23, 1990, the Supreme Council of the Armenian SSR adopted the Declaration of Independence which marked the beginning of a new state building process. The next step of the Council was a decision to declare Republic of Armenia instead of Soviet Socialist Republic of Armenia. The following day, on August 24, the law on the country’s flag was adopted, according to which the tricolor was recognized as Armenia’s national flag. But the document specifically avoided a demand for immediate secession from the USSR, declaring instead ''''the beginning of the process of establishing independent statehood.'''';;;;;;;;;;X
abkhazian_letter;The Abkhazian Letter;;;;;;;;;;X
abkhazian_letter_desc;At the end of the 1980s, ethnic tensions grew between the Abkhaz and Georgians over Georgia's moves towards independence. Many Abkhaz opposed this, fearing that an independent Georgia would lead to the elimination of their autonomy, and argued instead for the establishment of Abkhazia as a separate Soviet republic in its own right. The dispute turned violent on 16 July 1989 in Sukhumi. Sixteen Georgians are said to have been killed and another 137 injured when they tried to enroll in a Georgian University instead of an Abkhaz one. After several days of violence, Soviet troops restored order in the city and blamed rival nationalist paramilitaries for provoking confrontations. In June 1988, the so-called Abkhaz Letter  was an 87-page document signed by 60 important representatives of the Abkhaz intelligentia. The letter was completed on 17 June 1988 and sent to Gorbachev. The authors of the letter defended the distinctness of Abkhaz people, i.e. their non-Kartvelian status, and listed Abkhaz grievances against the Tbilisi rule, including Georgianization.;;;;;;;;;;X
april_9_tragedy;The April 9 Tragedy;;;;;;;;;;X
april_9_tragedy_desc;The April 9 tragedy (also known as Tbilisi Massacre, Tbilisi tragedy) refers to the events in Tbilisi, Georgian Soviet Socialist Republic, on April 9, 1989, when an anti-Soviet demonstration was dispersed by the Soviet Army, resulting in 20 deaths and hundreds of injuries. The anti-Soviet movement became more active in the Georgian SSR in 1988. Several strikes and meetings were organized by anti-Soviet political organizations in Tbilisi. The conflict between the Soviet government and Georgian nationalists deepened after the so-called Lykhny Assembly on March 18, 1989, when several thousand Abkhaz demanded secession from Georgia and restoration of the Union republic status of 1921–1931. In response, the anti-Soviet groups organized a series of unsanctioned meetings across the republic, claiming that the Soviet government was using Abkhaz separatism in order to oppose the pro-independence movement. The protests reached their peak on April 4, 1989, when tens of thousands of Georgians gathered before the House of Government on Rustaveli Avenue in Tbilisi. The protesters, led by the Independence Committee organized a peaceful demonstration and hunger strikes, demanding the punishment of Abkhaz secessionists and restoration of Georgian independence. Local Soviet authorities lost control over the situation in the capital and were unable to contain the protests. First Secretary of the Georgian Communist Party Jumber Patiashvili asked USSR leadership to send troops to restore order and impose curfew.;;;;;;;;;;X
georgian_independence_referendum;The Georgian Independence Referendum;;;;;;;;;;X
